rank,title,authors,year,venue,citation_count,source,notes
1,"Summarizing source code using a neural attention model","S Iyer, I Konstas, A Cheung et al.",TODO_VERIFY,TODO_VERIFY,1009,Google Scholar via Publish or Perish,
2,"Deep code comment generation","X Hu, G Li, X Xia, D Lo, Z Jin",TODO_VERIFY,TODO_VERIFY,922,Google Scholar via Publish or Perish,
3,"A transformer-based approach for source code summarization","W Ahmad, S Chakraborty, B Ray et al.",2020,ACL,567,Google Scholar via Publish or Perish,
4,"Improving automatic source code summarization via deep reinforcement learning","Y Wan, Z Zhao, M Yang, G Xu, H Ying, J Wu et al.",TODO_VERIFY,TODO_VERIFY,535,Google Scholar via Publish or Perish,
5,"On the use of automated text summarization techniques for summarizing source code","S Haiduc, J Aponte, L Moreno et al.",TODO_VERIFY,TODO_VERIFY,527,Google Scholar via Publish or Perish,
6,"Improved code summarization via a graph neural network","A LeClair, S Haque, L Wu, C McMillan",TODO_VERIFY,TODO_VERIFY,428,Google Scholar via Publish or Perish,
7,"Few-shot training LLMs for project-specific code-summarization","T Ahmed, P Devanbu",2022,ASE,424,Google Scholar via Publish or Perish,
8,"Summarizing source code with transferred API knowledge","X Hu, G Li, X Xia, D Lo, S Lu, Z Jin",TODO_VERIFY,TODO_VERIFY,392,Google Scholar via Publish or Perish,
9,"Supporting program comprehension with source code summarization","S Haiduc, J Aponte, A Marcus",TODO_VERIFY,TODO_VERIFY,385,Google Scholar via Publish or Perish,
10,"Deep code comment generation with hybrid lexical and syntactical information","X Hu, G Li, X Xia, D Lo, Z Jin",TODO_VERIFY,TODO_VERIFY,354,Google Scholar via Publish or Perish,
11,"Retrieval-based neural source code summarization","J Zhang, X Wang, H Zhang, H Sun, X Liu",TODO_VERIFY,TODO_VERIFY,329,Google Scholar via Publish or Perish,
12,"Automatic documentation generation via source code summarization of method context","PW McBurney, C McMillan",TODO_VERIFY,TODO_VERIFY,322,Google Scholar via Publish or Perish,
13,"Retrieval augmented code generation and summarization","MR Parvez, W Ahmad, S Chakraborty et al.",TODO_VERIFY,TODO_VERIFY,302,Google Scholar via Publish or Perish,
14,"Code generation as a dual task of code summarization","B Wei, G Li, X Xia, Z Fu, Z Jin",TODO_VERIFY,TODO_VERIFY,288,Google Scholar via Publish or Perish,
15,"Semantic similarity metrics for evaluating source code summarization","S Haque, Z Eberhart, A Bansal et al.",TODO_VERIFY,TODO_VERIFY,271,Google Scholar via Publish or Perish,
16,"Improving automated source code summarization via an eye-tracking study of programmers","P Rodeghero, C McMillan, PW McBurney et al.",TODO_VERIFY,TODO_VERIFY,271,Google Scholar via Publish or Perish,
17,"Large language models are few-shot summarizers: Multi-intent comment generation via in-context learning","M Geng, S Wang, D Dong, H Wang, G Li, Z Jin et al.",TODO_VERIFY,TODO_VERIFY,244,Google Scholar via Publish or Perish,
18,"Retrieval-augmented generation for code summarization via hybrid GNN","S Liu, Y Chen, X Xie, J Siow, Y Liu",TODO_VERIFY,TODO_VERIFY,236,Google Scholar via Publish or Perish,
19,"Automatic source code summarization of context for Java methods","PW McBurney, C McMillan",TODO_VERIFY,TODO_VERIFY,234,Google Scholar via Publish or Perish,
20,"Automatic semantic augmentation of language model prompts (for code summarization)","T Ahmed, KS Pai, P Devanbu, E Barr",TODO_VERIFY,TODO_VERIFY,229,Google Scholar via Publish or Perish,
